userId,result
1,"[2918, 1968, 1, 1136, 60069, 54503, 1682, 778, 1704, 4993]"
2,"[2571, 356, 2959, 4226, 593, 4878, 589, 5989, 1196, 4993]"
3,"[858, 2571, 50, 296, 1208, 2762, 2959, 260, 6874, 1213]"
4,"[4993, 924, 5952, 1208, 356, 4995, 923, 953, 1228, 2858]"
5,"[356, 47, 2762, 260, 1073, 2858, 595, 1210, 1270, 648]"
6,"[592, 1, 344, 442, 377, 367, 329, 551, 648, 227]"
7,"[1036, 2571, 858, 1, 4226, 1136, 1213, 1198, 296, 1265]"
8,"[1213, 1221, 588, 1265, 2959, 527, 1089, 260, 1, 34]"
9,"[1196, 260, 2571, 7153, 47, 1291, 32, 296, 356, 1221]"
10,"[79132, 60069, 5418, 78499, 1704, 4886, 3793, 293, 6539, 318]"
11,"[296, 590, 539, 1580, 1214, 316, 1387, 527, 1610, 588]"
12,"[597, 356, 6377, 919, 595, 11, 104, 364, 1380, 594]"
13,"[858, 4993, 1196, 260, 2858, 1221, 296, 2959, 1136, 1210]"
14,"[110, 457, 364, 589, 316, 597, 2329, 2502, 6377, 1580]"
15,"[589, 1291, 8368, 33794, 47, 608, 7143, 32, 2028, 40815]"
16,"[5618, 4027, 8961, 1200, 1265, 4979, 8874, 1732, 1527, 4306]"
17,"[296, 2959, 5952, 1210, 4306, 4011, 1200, 2115, 541, 1193]"
18,"[2858, 5952, 1393, 4226, 1197, 4011, 150, 3996, 380, 1721]"
19,"[296, 4993, 1208, 750, 2028, 33794, 7153, 58559, 1036, 1291]"
20,"[2858, 296, 2571, 2572, 367, 924, 2716, 1136, 2396, 592]"
21,"[318, 2028, 377, 780, 3147, 260, 1210, 593, 457, 1393]"
22,"[2571, 2028, 50, 79132, 2762, 260, 1206, 2329, 1221, 2997]"
23,"[2571, 58559, 356, 2959, 7361, 7153, 2858, 79132, 318, 5952]"
24,"[260, 589, 1196, 1270, 2, 110, 1210, 3793, 6539, 1]"
25,"[1210, 4993, 260, 4226, 1196, 2959, 296, 70286, 6365, 71535]"
26,"[110, 50, 32, 364, 589, 480, 318, 1, 292, 1196]"
27,"[260, 318, 588, 1214, 589, 1136, 2762, 500, 586, 1527]"
28,"[293, 1210, 1270, 1291, 6377, 1704, 1193, 1262, 1225, 1247]"
29,"[527, 260, 1214, 593, 7153, 2858, 111, 1, 457, 1233]"
30,"[2959, 47, 296, 4226, 98809, 6365, 356, 593, 8368, 1704]"
31,"[1291, 2571, 457, 2028, 480, 318, 4306, 1210, 50, 608]"
32,"[858, 356, 1136, 1206, 2858, 1732, 541, 1214, 293, 750]"
33,"[318, 1097, 858, 480, 1196, 1036, 364, 1136, 1247, 1270]"
34,"[5418, 1210, 1291, 4896, 1196, 4886, 6377, 5445, 4306, 4993]"
35,"[590, 364, 380, 110, 457, 318, 356, 296, 648, 588]"
36,"[1198, 1136, 1219, 2858, 2571, 2762, 2959, 2081, 50, 1221]"
37,"[589, 480, 593, 1, 1210, 47, 333, 364, 2959, 780]"
38,"[589, 356, 349, 293, 588, 474, 480, 592, 1265, 780]"
39,"[1196, 1265, 260, 318, 2571, 1214, 356, 1, 480, 380]"
40,"[592, 235, 527, 356, 457, 32, 904, 260, 377, 36]"
41,"[318, 593, 356, 58559, 858, 7153, 64614, 2762, 1196, 60069]"
42,"[296, 1270, 2858, 47, 480, 1198, 6, 1101, 589, 1193]"
43,"[480, 780, 595, 357, 364, 2, 153, 527, 551, 608]"
44,"[1265, 2716, 1136, 1196, 1198, 356, 2858, 2959, 2918, 2987]"
45,"[5952, 260, 4226, 5418, 7153, 7361, 318, 1265, 6539, 6874]"
46,"[150, 380, 595, 356, 592, 589, 480, 539, 500, 474]"
47,"[296, 2571, 858, 1198, 4306, 7153, 2858, 1270, 541, 3578]"
48,"[32, 4306, 1210, 1196, 2628, 260, 589, 2028, 4993, 1]"
49,"[4993, 4226, 7153, 318, 2028, 260, 1210, 608, 1198, 1]"
50,"[2858, 1617, 1213, 1214, 260, 47, 3147, 1193, 1196, 1653]"
51,"[296, 541, 1198, 2858, 1196, 1270, 2571, 32, 1210, 1089]"
52,"[1214, 296, 4993, 5952, 4226, 6539, 1200, 3147, 6377, 50]"
53,"[1270, 2716, 2502, 919, 2005, 527, 2174, 296, 441, 553]"
54,"[253, 364, 153, 780, 380, 344, 587, 595, 597, 161]"
55,"[296, 2571, 47, 608, 1196, 356, 110, 589, 1210, 260]"
